DATAFLOW,MEASURE: Measure,REGION_TYPE: Geography Level,ASGS_2021: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2010,7144292,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2011,7218529,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2012,7304244,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2013,7404032,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2014,7508353,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2015,7616168,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2016,7732858,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2017,7850871,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2018,7945580,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2019,8034305,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2020,8094317,PSNS: Persons,,
